scene_id,date,orbit_pass,relative_orbit
S1A_EW_GRDM_1SSH_20240502T224634_20240502T224738_053698_0685E2_CB34,2024-05-02 22:46:34,ASCENDING,76
S1A_EW_GRDM_1SSH_20240504T072815_20240504T072915_053718_0686A5_BF70,2024-05-04 07:28:15,DESCENDING,96
S1A_EW_GRDM_1SSH_20240505T063157_20240505T063257_053732_06872E_8955,2024-05-05 06:31:57,DESCENDING,110
S1A_EW_GRDM_1SSH_20240506T071319_20240506T071419_053747_0687CB_7097,2024-05-06 07:13:19,DESCENDING,125
S1A_EW_GRDM_1SSH_20240507T225229_20240507T225329_053771_0688B4_8675,2024-05-07 22:52:29,ASCENDING,149
S1A_EW_GRDM_1SSH_20240509T223829_20240509T223933_053800_0689BB_2CDD,2024-05-09 22:38:29,ASCENDING,3
S1A_EW_GRDM_1SSH_20240511T235821_20240511T235921_053830_068AC0_0CD2,2024-05-11 23:58:21,ASCENDING,33
S1A_EW_GRDM_1SSH_20240513T070504_20240513T070529_053849_068B64_4FD7,2024-05-13 07:05:04,DESCENDING,52
S1A_EW_GRDM_1SSH_20240516T073015_20240516T073115_053893_068CE3_EF6E,2024-05-16 07:30:15,DESCENDING,96
S1A_EW_GRDM_1SSH_20240518T071319_20240518T071419_053922_068DE6_3CEA,2024-05-18 07:13:19,DESCENDING,125
S1A_EW_GRDM_1SSH_20240521T223828_20240521T223932_053975_068FBD_9438,2024-05-21 22:38:28,ASCENDING,3
S1A_EW_GRDM_1SSH_20240524T230242_20240524T230346_054019_069140_CF93,2024-05-24 23:02:42,ASCENDING,47
S1A_EW_GRDM_1SSH_20240526T224634_20240526T224738_054048_06924F_2160,2024-05-26 22:46:34,ASCENDING,76
S1A_EW_GRDM_1SSH_20240528T073015_20240528T073115_054068_0692F9_F198,2024-05-28 07:30:15,DESCENDING,96
S1A_EW_GRDM_1SSH_20240530T071219_20240530T071319_054097_0693F9_BDCB,2024-05-30 07:12:19,DESCENDING,125
S1A_EW_GRDM_1SSH_20240531T061628_20240531T061728_054111_069473_E7A0,2024-05-31 06:16:28,DESCENDING,139
S1A_EW_GRDM_1SSH_20240601T233506_20240601T233610_054136_069553_B636,2024-06-01 23:35:06,ASCENDING,164
S1A_EW_GRDM_1SSH_20240604T072030_20240604T072130_054170_069677_EE94,2024-06-04 07:20:30,DESCENDING,23
S1A_EW_GRDM_1SSH_20240605T230241_20240605T230345_054194_06974A_13AF,2024-06-05 23:02:41,ASCENDING,47
S1A_EW_GRDM_1SSH_20240607T060819_20240607T060919_054213_0697F8_D5AD,2024-06-07 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20240609T072914_20240609T073014_054243_069907_BE78,2024-06-09 07:29:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240610T063257_20240610T063357_054257_06997D_206B,2024-06-10 06:32:57,DESCENDING,110
S1A_EW_GRDM_1SSH_20240611T071318_20240611T071418_054272_069A04_C7E0,2024-06-11 07:13:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20240612T061627_20240612T061727_054286_069A7E_7119,2024-06-12 06:16:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240615T231855_20240615T231959_054340_069C59_A5F6,2024-06-15 23:18:55,ASCENDING,18
S1A_EW_GRDM_1SSH_20240616T072129_20240616T072229_054345_069C84_255F,2024-06-16 07:21:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20240618T070503_20240618T070528_054374_069D7E_BD65,2024-06-18 07:05:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240621T072814_20240621T072914_054418_069F14_7445,2024-06-21 07:28:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240622T063156_20240622T063256_054432_069F89_16FA,2024-06-22 06:31:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240623T071318_20240623T071418_054447_06A015_B042,2024-06-23 07:13:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20240624T061627_20240624T061727_054461_06A090_A318,2024-06-24 06:16:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240628T235820_20240628T235920_054530_06A2EC_6277,2024-06-28 23:58:20,ASCENDING,33
S1A_EW_GRDM_1SSH_20240630T070503_20240630T070528_054549_06A393_6B25,2024-06-30 07:05:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240701T060818_20240701T060918_054563_06A41F_5253,2024-07-01 06:08:18,DESCENDING,66
S1A_EW_GRDM_1SSH_20240703T072913_20240703T073013_054593_06A52B_8F76,2024-07-03 07:29:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240705T071217_20240705T071317_054622_06A62E_F7E2,2024-07-05 07:12:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240706T061526_20240706T061626_054636_06A6A6_AFC6,2024-07-06 06:15:26,DESCENDING,139
S1A_EW_GRDM_1SSH_20240709T231853_20240709T231958_054690_06A884_5EB3,2024-07-09 23:18:53,ASCENDING,18
S1A_EW_GRDM_1SSH_20240710T235819_20240710T235919_054705_06A905_5AE1,2024-07-10 23:58:19,ASCENDING,33
S1A_EW_GRDM_1SSH_20240713T060818_20240713T060918_054738_06AA30_CF2E,2024-07-13 06:08:18,DESCENDING,66
S1A_EW_GRDM_1SSH_20240715T072913_20240715T073013_054768_06AB38_52AE,2024-07-15 07:29:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240717T071216_20240717T071316_054797_06AC3A_46E6,2024-07-17 07:12:16,DESCENDING,125
S1A_EW_GRDM_1SSH_20240718T061526_20240718T061626_054811_06ACB5_6786,2024-07-18 06:15:26,DESCENDING,139
S1A_EW_GRDM_1SSH_20240720T223826_20240720T223930_054850_06AE14_2887,2024-07-20 22:38:26,ASCENDING,3
S1A_EW_GRDM_1SSH_20240722T235819_20240722T235919_054880_06AF1A_C32C,2024-07-22 23:58:19,ASCENDING,33
S1A_EW_GRDM_1SSH_20240724T070502_20240724T070527_054899_06AFBE_74B7,2024-07-24 07:05:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20240727T072912_20240727T073012_054943_06B14F_366B,2024-07-27 07:29:12,DESCENDING,96
S1A_EW_GRDM_1SSH_20240728T063254_20240728T063354_054957_06B1CC_9C29,2024-07-28 06:32:54,DESCENDING,110
S1A_EW_GRDM_1SSH_20240729T071416_20240729T071516_054972_06B255_C7EA,2024-07-29 07:14:16,DESCENDING,125
S1A_EW_GRDM_1SSH_20240731T233504_20240731T233608_055011_06B3B3_324A,2024-07-31 23:35:04,ASCENDING,164
S1A_EW_GRDM_1SSH_20240801T223826_20240801T223930_055025_06B42D_702E,2024-08-01 22:38:26,ASCENDING,3
S1A_EW_GRDM_1SSH_20240803T072128_20240803T072228_055045_06B4C9_7076,2024-08-03 07:21:28,DESCENDING,23
S1A_EW_GRDM_1SSH_20240805T070502_20240805T070602_055074_06B5BC_E497,2024-08-05 07:05:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20240808T072813_20240808T072913_055118_06B767_B80A,2024-08-08 07:28:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240809T063155_20240809T063255_055132_06B7EF_13D3,2024-08-09 06:31:55,DESCENDING,110
S1A_EW_GRDM_1SSH_20240810T071316_20240810T071416_055147_06B875_4E30,2024-08-10 07:13:16,DESCENDING,125
S1A_EW_GRDM_1SSH_20240812T233504_20240812T233608_055186_06B9EA_C10E,2024-08-12 23:35:04,ASCENDING,164
S1A_EW_GRDM_1SSH_20240815T072027_20240815T072127_055220_06BB24_A254,2024-08-15 07:20:27,DESCENDING,23
S1A_EW_GRDM_1SSH_20240817T070402_20240817T070502_055249_06BC20_145A,2024-08-17 07:04:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20240818T060817_20240818T060917_055263_06BCB1_E104,2024-08-18 06:08:17,DESCENDING,66
S1A_EW_GRDM_1SSH_20240820T072913_20240820T073013_055293_06BDC8_B884,2024-08-20 07:29:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240821T231045_20240821T231149_055317_06BEB6_51D7,2024-08-21 23:10:45,ASCENDING,120
S1A_EW_GRDM_1SSH_20240822T071416_20240822T071516_055322_06BEE1_1D04,2024-08-22 07:14:16,DESCENDING,125
S1A_EW_GRDM_1SSH_20240824T233504_20240824T233608_055361_06C068_85AF,2024-08-24 23:35:04,ASCENDING,164
S1A_EW_GRDM_1SSH_20240827T072128_20240827T072228_055395_06C1A8_3CB1,2024-08-27 07:21:28,DESCENDING,23
S1A_EW_GRDM_1SSH_20240829T070502_20240829T070602_055424_06C298_E167,2024-08-29 07:05:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20240830T224632_20240830T224736_055448_06C38E_A9FA,2024-08-30 22:46:32,ASCENDING,76
S1A_EW_GRDM_1SSH_20240901T072813_20240901T072913_055468_06C444_CD36,2024-09-01 07:28:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240902T063255_20240902T063355_055482_06C4CC_93DF,2024-09-02 06:32:55,DESCENDING,110
S1A_EW_GRDM_1SSH_20240903T071417_20240903T071517_055497_06C569_8EB6,2024-09-03 07:14:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240906T223826_20240906T223931_055550_06C788_954A,2024-09-06 22:38:26,ASCENDING,3
S1A_EW_GRDM_1SSH_20240908T072128_20240908T072228_055570_06C850_EA2C,2024-09-08 07:21:28,DESCENDING,23
S1A_EW_GRDM_1SSH_20240910T070502_20240910T070602_055599_06C96F_8B44,2024-09-10 07:05:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20240913T072813_20240913T072913_055643_06CB2F_59B5,2024-09-13 07:28:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20240914T063256_20240914T063356_055657_06CBB6_C148,2024-09-14 06:32:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240915T071417_20240915T071517_055672_06CC53_C3CE,2024-09-15 07:14:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240918T223827_20240918T223931_055725_06CE71_56F1,2024-09-18 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20240920T235820_20240920T235920_055755_06CF9C_0E78,2024-09-20 23:58:20,ASCENDING,33
S1A_EW_GRDM_1SSH_20240922T070603_20240922T070641_055774_06D04F_FAA2,2024-09-22 07:06:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240925T072814_20240925T072914_055818_06D21A_0370,2024-09-25 07:28:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240926T063256_20240926T063356_055832_06D2A5_AFC5,2024-09-26 06:32:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240927T071417_20240927T071517_055847_06D341_33FF,2024-09-27 07:14:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240930T223827_20240930T223931_055900_06D561_A4BA,2024-09-30 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20241001T231854_20241001T231958_055915_06D5F2_B4F9,2024-10-01 23:18:54,ASCENDING,18
S1A_EW_GRDM_1SSH_20241003T230240_20241003T230345_055944_06D71B_B5D6,2024-10-03 23:02:40,ASCENDING,47
S1A_EW_GRDM_1SSH_20241005T060819_20241005T060919_055963_06D7D5_1538,2024-10-05 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20241007T073015_20241007T073115_055993_06D902_264D,2024-10-07 07:30:15,DESCENDING,96
S1A_EW_GRDM_1SSH_20241008T231047_20241008T231151_056017_06D9F4_5CCB,2024-10-08 23:10:47,ASCENDING,120
S1A_EW_GRDM_1SSH_20241010T061528_20241010T061628_056036_06DAAC_E247,2024-10-10 06:15:28,DESCENDING,139
S1A_EW_GRDM_1SSH_20241013T231854_20241013T231959_056090_06DCD3_BD6D,2024-10-13 23:18:54,ASCENDING,18
S1A_EW_GRDM_1SSH_20241015T230241_20241015T230345_056119_06DDF8_E3CC,2024-10-15 23:02:41,ASCENDING,47
S1A_EW_GRDM_1SSH_20241017T060819_20241017T060919_056138_06DEBC_FA41,2024-10-17 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20241019T073014_20241019T073114_056168_06DFEE_E3CC,2024-10-19 07:30:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20241021T071218_20241021T071318_056197_06E113_77F0,2024-10-21 07:12:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20241022T061627_20241022T061727_056211_06E19B_F84F,2024-10-22 06:16:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20241025T231854_20241025T231958_056265_06E3C9_0399,2024-10-25 23:18:54,ASCENDING,18
S1A_EW_GRDM_1SSH_20241027T230241_20241027T230345_056294_06E4ED_4DD2,2024-10-27 23:02:41,ASCENDING,47
S1A_EW_GRDM_1SSH_20241029T060819_20241029T060919_056313_06E5B2_3C86,2024-10-29 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20241031T073014_20241031T073114_056343_06E6DD_C3FF,2024-10-31 07:30:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20241101T063156_20241101T063256_056357_06E768_C0F0,2024-11-01 06:31:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20241102T071318_20241102T071418_056372_06E805_1C11,2024-11-02 07:13:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20241103T061627_20241103T061727_056386_06E88B_CF4E,2024-11-03 06:16:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20241107T072029_20241107T072129_056445_06EAE9_646E,2024-11-07 07:20:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20241109T070403_20241109T070503_056474_06EC03_810F,2024-11-09 07:04:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20241110T060818_20241110T060918_056488_06EC9C_895C,2024-11-10 06:08:18,DESCENDING,66
S1A_EW_GRDM_1SSH_20241112T073014_20241112T073114_056518_06EDD5_5A54,2024-11-12 07:30:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20241114T071217_20241114T071317_056547_06EEFA_FC1A,2024-11-14 07:12:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20241115T061527_20241115T061627_056561_06EF83_B3BB,2024-11-15 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20241118T231854_20241118T231958_056615_06F1B6_A6A2,2024-11-18 23:18:54,ASCENDING,18
S1A_EW_GRDM_1SSH_20241120T230240_20241120T230344_056644_06F2E2_5971,2024-11-20 23:02:40,ASCENDING,47
S1A_EW_GRDM_1SSH_20241121T070602_20241121T070640_056649_06F30D_68EE,2024-11-21 07:06:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20241124T072913_20241124T073013_056693_06F4D4_ACE2,2024-11-24 07:29:13,DESCENDING,96
S1A_EW_GRDM_1SSH_20241125T231045_20241125T231149_056717_06F5CB_593D,2024-11-25 23:10:45,ASCENDING,120
S1A_EW_GRDM_1SSH_20241126T071416_20241126T071516_056722_06F5FC_BA74,2024-11-26 07:14:16,DESCENDING,125
S1A_EW_GRDM_1SSH_20241129T223826_20241129T223930_056775_06F81B_F38F,2024-11-29 22:38:26,ASCENDING,3
S1A_EW_GRDM_1SSH_20241201T235819_20241201T235919_056805_06F948_3C91,2024-12-01 23:58:19,ASCENDING,33
S1A_EW_GRDM_1SSH_20241203T070602_20241203T070639_056824_06F9FC_F4AA,2024-12-03 07:06:02,DESCENDING,52
S1A_EW_GRDM_1SSH_20241206T072817_20241206T072922_056868_06FBBE_7564,2024-12-06 07:28:17,DESCENDING,96
S1A_EW_GRDM_1SSH_20241207T231044_20241207T231148_056892_06FCA9_02AB,2024-12-07 23:10:44,ASCENDING,120
S1A_EW_GRDM_1SSH_20241209T061525_20241209T061625_056911_06FD5F_DFCD,2024-12-09 06:15:25,DESCENDING,139
S1A_EW_GRDM_1SSH_20241211T223825_20241211T223929_056950_06FEF3_1423,2024-12-11 22:38:25,ASCENDING,3
S1A_EW_GRDM_1SSH_20241213T235818_20241213T235918_056980_070024_6B0F,2024-12-13 23:58:18,ASCENDING,33
S1A_EW_GRDM_1SSH_20241215T070601_20241215T070639_056999_0700DE_8A2B,2024-12-15 07:06:01,DESCENDING,52
S1A_EW_GRDM_1SSH_20241218T072816_20241218T072920_057043_0702B0_7CFA,2024-12-18 07:28:16,DESCENDING,96
S1A_EW_GRDM_1SSH_20241219T231043_20241219T231147_057067_0703AD_D245,2024-12-19 23:10:43,ASCENDING,120
S1A_EW_GRDM_1SSH_20241221T061524_20241221T061624_057086_070464_F279,2024-12-21 06:15:24,DESCENDING,139
S1A_EW_GRDM_1SSH_20241223T223824_20241223T223928_057125_0705FE_93DE,2024-12-23 22:38:24,ASCENDING,3
S1A_EW_GRDM_1SSH_20241226T230237_20241226T230341_057169_0707AF_6CE8,2024-12-26 23:02:37,ASCENDING,47
S1A_EW_GRDM_1SSH_20241228T060815_20241228T060915_057188_07086D_BF35,2024-12-28 06:08:15,DESCENDING,66
S1A_EW_GRDM_1SSH_20241230T072910_20241230T073010_057218_07099B_445B,2024-12-30 07:29:10,DESCENDING,96
S1A_EW_GRDM_1SSH_20241231T231042_20241231T231146_057242_070A92_AFD2,2024-12-31 23:10:42,ASCENDING,120
